,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,18.579334259033203,0.0,0.1056460530645004,0.021268133036852675,0.5784509689226843,0.3718567969970652,1.4893987577973244,1.3507537302893686
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,18.579334259033203,0.0,0.1056460530645004,0.021268133036852675,0.5161726816566063,0.3328332754340876,1.2888924817607295,1.2189133255726592
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,18.579334259033203,0.0,0.1056460530645004,0.021268133036852675,0.5271991006611053,0.33570475917867615,1.281608386789585,1.1803829152115748
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,18.579334259033203,0.0,0.1056460530645004,0.021268133036852675,0.5098041793234322,0.3298034922563197,1.2628778507561118,1.2316433931875517
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,18.579334259033203,0.0,0.1056460530645004,0.021268133036852675,0.5151761538910493,0.33553092414387603,1.279640913901612,1.2111697023662003
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,49.93270802497864,0.0,0.10513853030616527,0.02854273996741149,0.5977091328710747,0.3884276408854709,1.6815791637050312,1.615194548971363
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,49.93270802497864,0.0,0.10513853030616527,0.02854273996741149,0.5683950356668722,0.36705562124994245,1.5719055690715087,1.4824101203532907
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,49.93270802497864,0.0,0.10513853030616527,0.02854273996741149,0.5833901878631959,0.3907130472806468,1.6587249993130846,1.5686325307022964
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,49.93270802497864,0.0,0.10513853030616527,0.02854273996741149,0.5684318962620097,0.3820695404987657,1.6541544413973885,1.594292752409548
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,49.93270802497864,0.0,0.10513853030616527,0.02854273996741149,0.5647503988145677,0.375216390617217,1.589478746650416,1.5308392297342284
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,19.0335910320282,0.0,0.10304085657125064,0.040589063164230964,0.4053231747604426,0.2687757167037403,0.6202962570988912,0.7110219893920354
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,19.0335910320282,0.0,0.10304085657125064,0.040589063164230964,0.3807533360235655,0.2523330315112528,0.5647309239207049,0.6189593796686083
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,19.0335910320282,0.0,0.10304085657125064,0.040589063164230964,0.38201497148868346,0.22667774917879416,0.5164958769712844,0.48896747654127276
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,19.0335910320282,0.0,0.10304085657125064,0.040589063164230964,0.33253921083648436,0.24514066967061812,0.4502304393693725,0.4813102108497064
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,19.0335910320282,0.0,0.10304085657125064,0.040589063164230964,0.3476477665634456,0.23003954010782765,0.4575192148908063,0.47530617297604494
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,51.179972410202026,0.0,0.11195014047755504,0.03729558315396155,0.396325028584017,0.2614687876310639,0.5971049736360033,0.6446089603080674
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,51.179972410202026,0.0,0.11195014047755504,0.03729558315396155,0.3858304753713515,0.2782377714321815,0.5900503109649015,0.7269732709615825
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,51.179972410202026,0.0,0.11195014047755504,0.03729558315396155,0.39367455307557964,0.29625504261465085,0.6258573266446883,0.7931701623769528
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,51.179972410202026,0.0,0.11195014047755504,0.03729558315396155,0.40083222496958143,0.3047083145180244,0.6832084289281646,0.9224024683074338
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,51.179972410202026,0.0,0.11195014047755504,0.03729558315396155,0.3851664104588883,0.293677491541909,0.6172720483369263,0.8006646324938687
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,19.380354166030884,0.0,0.1023267450466962,0.015412853481660245,1.5934999184441407,0.9434391852025802,10.148572002143897,8.772887076826137
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,19.380354166030884,0.0,0.1023267450466962,0.015412853481660245,1.5000706783485236,0.8756699121650823,9.03572652443552,7.699313546332979
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,19.380354166030884,0.0,0.1023267450466962,0.015412853481660245,1.5049978841682963,0.8943244685165049,9.238055770723925,7.965930283141774
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,19.380354166030884,0.0,0.1023267450466962,0.015412853481660245,1.5077539833143918,0.8323861770852249,8.693879598365406,6.643292006101857
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,19.380354166030884,0.0,0.1023267450466962,0.015412853481660245,1.5132240838908322,0.8604733809593333,8.997547828639444,7.284648278694582
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6649641933777277,1.0335576663117514,11.55976521653221,10.582380795363711
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6689594272772013,1.016260994248897,11.388773036791777,10.476917047881912
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6605199912439998,1.04404375536062,11.80971956626148,11.026132692430833
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6425211779923634,1.0128106141068245,11.22503699785751,11.069546083028815
