,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,16.27147579,0,0.101743654,0.019485022,0.601101059,0.387507899,1.658568022,1.557670409
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,16.27147579,0,0.101743654,0.019485022,0.545878196,0.350861679,1.439925978,1.425613886
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,16.27147579,0,0.101743654,0.019485022,0.552921361,0.348552193,1.402603626,1.331667763
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,16.27147579,0,0.101743654,0.019485022,0.560676752,0.357753381,1.445975026,1.380167571
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,16.27147579,0,0.101743654,0.019485022,0.554410788,0.360575785,1.501150937,1.419203745
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,16.19339871,0,0.100581504,0.014640691,0.387502805,0.248610725,0.571031961,0.593557628
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,16.19339871,0,0.100581504,0.014640691,0.368962654,0.242955839,0.503138933,0.562953294
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,16.19339871,0,0.100581504,0.014640691,0.401586089,0.234102619,0.55484854,0.579806247
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,16.19339871,0,0.100581504,0.014640691,0.385781774,0.273331524,0.600835122,0.771989847
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,16.19339871,0,0.100581504,0.014640691,0.400806678,0.254684353,0.594683098,0.709968328
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,16.21095777,0,0.101931172,0.039909215,1.688796522,1.021714595,11.5498391,10.25192076
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,16.21095777,0,0.101931172,0.039909215,1.622032397,0.958577987,10.63358199,9.03024368
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,16.21095777,0,0.101931172,0.039909215,1.610462753,0.966248455,10.64585835,9.891688574
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,16.21095777,0,0.101931172,0.039909215,1.625472354,0.977211192,10.98443997,10.02313977
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,16.21095777,0,0.101931172,0.039909215,1.670154641,0.989421068,11.343662,10.07195439
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,17.70415878,0,0.10348987,0.024597575,0.567194308,0.374464956,1.523316523,1.426276729
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,17.70415878,0,0.10348987,0.024597575,0.594260464,0.398051553,1.69283365,1.709239817
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,17.70415878,0,0.10348987,0.024597575,0.59488292,0.410496812,1.751188098,1.7362908
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,17.70415878,0,0.10348987,0.024597575,0.609336096,0.390084066,1.753688521,1.66756479
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,17.70415878,0,0.10348987,0.024597575,0.586571764,0.389646307,1.640263084,1.529393241
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,17.39584565,0,0.103668206,0.023435105,0.371648396,0.238617004,0.5222236,0.540863477
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,17.39584565,0,0.103668206,0.023435105,0.410414762,0.316576154,0.748223535,0.933452684
