,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"19,55216908",0,"0,103023734","0,018840469","0,574194509","0,37183369","1,490703054","1,358067336"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"19,55216908",0,"0,103023734","0,018840469","0,575046787","0,374529885","1,490793076","1,369723499"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"19,55216908",0,"0,103023734","0,018840469","0,520826647","0,32882573","1,292649449","1,24517953"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"19,55216908",0,"0,103023734","0,018840469","0,530441944","0,335912743","1,293460841","1,188048839"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"19,55216908",0,"0,103023734","0,018840469","0,531677044","0,345284317","1,319679256","1,243454508"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"50,35077691",0,"0,10356033","0,02833625","0,601715225","0,390083298","1,704355976","1,570820891"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"50,35077691",0,"0,10356033","0,02833625","0,590651604","0,387352457","1,645443931","1,550275009"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"50,35077691",0,"0,10356033","0,02833625","0,551045131","0,356423366","1,464393005","1,364290896"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"50,35077691",0,"0,10356033","0,02833625","0,563737619","0,375172966","1,598198535","1,554998154"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"50,35077691",0,"0,10356033","0,02833625","0,55868045","0,36981484","1,55997537","1,473728555"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"47,72732854",0,"0,10473108","0,037784414","0,593600802","0,394668571","1,63015606","1,473592303"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"47,72732854",0,"0,10473108","0,037784414","0,602298307","0,423893758","1,773470433","1,777550262"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"47,72732854",0,"0,10473108","0,037784414","0,561901498","0,383309609","1,496263224","1,473348157"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"47,72732854",0,"0,10473108","0,037784414","0,561108898","0,366546935","1,485326309","1,341905449"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,2,10,10,"47,72732854",0,"0,10473108","0,037784414","0,555266271","0,368263752","1,459806208","1,40589558"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"19,46478701",0,"0,098924088","0,014181156","0,380014111","0,262550649","0,57228016","0,667684913"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"19,46478701",0,"0,098924088","0,014181156","0,384633985","0,253343505","0,572466219","0,637523276"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"19,46478701",0,"0,098924088","0,014181156","0,367123597","0,234248139","0,492222526","0,474130271"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"19,46478701",0,"0,098924088","0,014181156","0,390327062","0,240262696","0,561134899","0,56480621"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"19,46478701",0,"0,098924088","0,014181156","0,363665679","0,234101684","0,490222105","0,496886135"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"48,48419785",0,"0,107060744","0,031142631","0,391668833","0,261530047","0,580167194","0,65409921"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"48,48419785",0,"0,107060744","0,031142631","0,396584814","0,264707027","0,599762198","0,619718451"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"48,48419785",0,"0,107060744","0,031142631","0,389667323","0,278983503","0,607636024","0,706396167"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"48,48419785",0,"0,107060744","0,031142631","0,365585671","0,294892158","0,577215369","0,744578408"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"48,48419785",0,"0,107060744","0,031142631","0,369252521","0,284468173","0,573120375","0,697869507"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"45,21177816",0,"0,103561408","0,039299217","0,385370744","0,272402034","0,582573671","0,640889634"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"45,21177816",0,"0,103561408","0,039299217","0,383533915","0,256635405","0,572715292","0,584197767"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"45,21177816",0,"0,103561408","0,039299217","0,399550493","0,272937737","0,621649329","0,643628394"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"45,21177816",0,"0,103561408","0,039299217","0,35509321","0,28031367","0,546547669","0,604802224"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,2,10,10,"45,21177816",0,"0,103561408","0,039299217","0,401192229","0,302621169","0,705579545","0,76873269"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"19,76197052",0,"0,100024426","0,015119824","1,61459426","0,995139052","10,83583368","9,834964802"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"19,76197052",0,"0,100024426","0,015119824","1,65419453","0,941742449","10,62225297","8,603872784"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"19,76197052",0,"0,100024426","0,015119824","1,506023524","0,881981587","9,158448379","7,910970042"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"19,76197052",0,"0,100024426","0,015119824","1,490148138","0,859746784","8,831173781","7,327387862"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"19,76197052",0,"0,100024426","0,015119824","1,505880738","0,852862673","8,873043001","7,227501991"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"52,55298138",0,"0,105866166","0,047938331","1,706556794","1,004285171","11,68066218","9,83843954"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"52,55298138",0,"0,105866166","0,047938331","1,695158209","1,058590723","11,86645456","10,90096832"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"52,55298138",0,"0,105866166","0,047938331","1,660649998","1,054942655","11,82222986","11,42379205"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"52,55298138",0,"0,105866166","0,047938331","1,667027746","1,012103266","11,59717553","10,72677757"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"52,55298138",0,"0,105866166","0,047938331","1,64399526","0,999799327","11,23138963","10,28085343"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"48,7781539",0,"0,109598856","0,041629277","1,704351806","1,023401564","11,63099769","9,993281421"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"48,7781539",0,"0,109598856","0,041629277","1,686882507","0,993992814","11,23620201","9,348406791"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"48,7781539",0,"0,109598856","0,041629277","1,617090033","0,96109956","10,51937787","8,898870237"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"48,7781539",0,"0,109598856","0,041629277","1,758174409","1,104824619","12,66457553","11,46156012"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,2,10,10,"48,7781539",0,"0,109598856","0,041629277","1,617167907","0,967397027","10,69067689","9,460313053"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"20,20049787",0,"0,101156207","0,02498979","0,556138093","0,366588688","1,434094653","1,392013561"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"20,20049787",0,"0,101156207","0,02498979","0,555098173","0,353707301","1,406802826","1,257634396"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"20,20049787",0,"0,101156207","0,02498979","0,555800598","0,374333594","1,4501947","1,360279026"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"20,20049787",0,"0,101156207","0,02498979","0,560083325","0,363470875","1,446390896","1,31772247"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"20,20049787",0,"0,101156207","0,02498979","0,553550046","0,353740957","1,398760744","1,246389457"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,610930036","0,423429826","1,842871618","1,858330927"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,593687821","0,410126755","1,726089234","1,764607217"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,601681509","0,424757468","1,804451159","1,97707179"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,613635095","0,442162223","1,917744635","2,040693957"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"58,35554743",0,"0,105933037","0,030382979","0,60775501","0,411892343","1,789012703","1,824642269"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,591451249","0,408194156","1,7446025","1,726536269"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,595531519","0,429389142","1,802809135","1,901511419"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,595155277","0,416584215","1,798792454","1,818223837"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,617815027","0,452994458","1,97592155","2,144848943"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,2,28,10,"51,11232162",0,"0,104624947","0,043400103","0,628913597","0,443603004","2,034549438","2,114770434"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,351573897","0,236646778","0,469488043","0,492960763"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,333690014","0,239098709","0,443381611","0,456892126"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,353806188","0,237580983","0,482595059","0,464818234"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,321248971","0,250316967","0,439838207","0,49125929"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"20,36738038",0,"0,102635806","0,025120559","0,340250204","0,238818584","0,458301676","0,484253586"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,356360373","0,252856035","0,510714869","0,505901705"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,356253019","0,257483394","0,507179333","0,527218058"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,453215366","0,357333222","0,878717411","1,185325654"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,2,28,10,"56,0263586",0,"0,108732957","0,03118659","0,405970816","0,301118203","0,700755902","0,908872292"
