Name,FT,FT,PT,PT,MAE,MAE,MSE,MSE,MAPE,MAPE,ME,ME,i
Param,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,
"MLP[y,SolarDay%,qOCId(7)]",21.71568250656128,0.0,0.0003795318284738695,2.5110192868232085e-05,0.5337677749135656,0.2970082207419219,1.2104820369215654,1.07938432017404,150720991309699.16,286878981430460.1,3.541962770944074,1.5909283718349159,0
"MLP[SolarDay%,qOCId(7)]",21.71568250656128,0.0,0.0003795318284738695,2.5110192868232085e-05,0.5649270664551928,0.2940270554361545,1.2793686401391746,1.2081809826084065,208120825857779.97,355180781712849.5,3.4696954127270967,1.5084522521215147,0
"MLP[y,qOCId(7)]",21.71568250656128,0.0,0.0003795318284738695,2.5110192868232085e-05,0.5994378523383251,0.3309675964235546,1.4059799181620158,1.279941826648159,212434076894164.3,264449347645486.3,3.8703473444927354,2.017407247188679,0
"LR(12)[SolarDay%,qOCId(7)]",0.8569676876068115,0.0,0.0005301087679637175,0.00015121763765206915,0.5557030554001411,0.2932636932175269,1.2758240081975287,1.2122794405187458,165821250633733.97,354714143889070.44,3.4619243411818754,1.5125764094396545,0
"LR(6)[SolarDay%,qOCId(7)]",0.1309809684753418,0.0,0.0003202087699868885,5.806185346789774e-06,0.5744015500716687,0.2971781593461751,1.2785933465004717,1.2073824248590712,218335114876380.62,364388549046386.06,3.4369415536414714,1.4868577828321403,0
"DT[SolarDay%,qOCId(7)]",0.19865751266479492,0.0,0.00030437419009407915,0.0006547059313702045,0.7110831709697533,0.39819667904337064,2.593606750480342,1.9396435760861417,156083013343380.78,401857014659782.1,6.354599173890723,2.2939932674137538,0
"RF[SolarDay%,qOCId(7)]",11.663574934005737,0.0,0.011993274715285447,0.0019082946279501208,0.6179729736349477,0.3357160776784976,1.845904109855636,1.491478825420134,161709883382661.88,387422982012057.0,5.429634280302108,1.7440799487261003,0
"tf::LSTM(10,10)[y,qOCId(7)]*n=10,step=2",17.040395736694336,0.0,0.052781826274308656,0.05746716806909252,0.6024352042158061,0.4126930911988683,1.6412132205871122,1.7736234702623532,138282086824605.39,170571205289214.28,4.032632295971276,2.366766223395573,0
"tf::LSTM(10,10)[y,qOCId(7)]*n=10,step=28",16.5277156829834,0.0,0.045599315159832204,0.06407172481395114,0.6213678933268871,0.41794058722678834,1.8245241495165723,1.946513903350912,136797128686542.02,202418861046690.2,4.22622762545576,2.311555624109075,0
"tf::LSTM(20,10)[y,qOCId(7)]*n=20,step=28",26.166387796401978,0.0,0.0516541960511699,0.052734655609130134,0.6855605332253011,0.4984734092662236,2.2851894743226477,2.510925470949367,142069475475873.12,167910667518994.62,4.537020296547709,2.509054576406033,0
"MLP[y,SolarDay%,qOCId(8)]",26.348889350891113,0.0,0.00036208144801572835,2.3391746952845517e-05,0.5696432029172234,0.30062519053468967,1.2401642428189605,1.1436352910931487,283834875993451.6,291212687020065.94,3.513814838821624,1.5655240110136341,1
"MLP[SolarDay%,qOCId(8)]",26.348889350891113,0.0,0.00036208144801572835,2.3391746952845517e-05,0.5676097061294021,0.30169697898768105,1.2752667591808244,1.2462911456868517,218121954576204.16,339694227520444.94,3.439821872699589,1.534886685126834,1
"MLP[y,qOCId(8)]",26.348889350891113,0.0,0.00036208144801572835,2.3391746952845517e-05,0.5972088356940989,0.34747812480543677,1.3982025471661395,1.369395653756499,236682669645087.38,273490083675588.94,3.823142461451815,2.05553295588355,1
"LR(12)[SolarDay%,qOCId(8)]",0.8817319869995117,0.0,0.0005246988578095078,1.321596030106618e-05,0.5520080146816393,0.30309317724481516,1.2717276798628732,1.2716576687117,166726857278674.53,334204380760267.25,3.4350978544196678,1.5674961900909683,1
"LR(6)[SolarDay%,qOCId(8)]",0.13037943840026855,0.0,0.0003220822485708593,7.873045305762374e-06,0.5690658142425622,0.3051830305951172,1.257465536165642,1.2411233624641738,228974743509767.97,332817590462293.4,3.3991164209773297,1.5463130816372777,1
"DT[SolarDay%,qOCId(8)]",0.19795870780944824,0.0,0.0002626609005303768,2.210082574416223e-05,0.7087599836641817,0.38534125206187186,2.5853055556651277,1.8638411537620072,159347568668558.56,404038110971278.1,6.552124736296012,2.205644027910861,1
"RF[SolarDay%,qOCId(8)]",11.430746793746948,0.0,0.011681385359060133,0.0017227363848180321,0.61343589374344,0.33115408325116147,1.8318002101290245,1.4773054221835098,160409037895706.1,374107167308622.1,5.479127393087038,1.6703118254063072,1
"tf::LSTM(10,10)[y,qOCId(8)]*n=10,step=2",16.23901391029358,0.0,0.05105188762909191,0.048538072662001816,0.6132482425061269,0.4471004642687076,1.7719173405274788,2.021023843240738,135053015755212.19,147035186103845.47,4.038087960976432,2.487466083890601,1
"tf::LSTM(10,10)[y,qOCId(8)]*n=10,step=28",15.923671960830688,0.0,0.043428458875268285,0.04891032396802731,0.6289882100775618,0.4165130029340797,1.838456218472948,1.9525015339175544,192414475785178.4,206667157058417.28,4.288931192159957,2.311636567631173,1
"tf::LSTM(20,10)[y,qOCId(8)]*n=20,step=28",25.22935724258423,0.0,0.05018492993538094,0.049437804335459336,0.6846584242294653,0.471253554929697,2.172544759129865,2.3261118660411357,184893557220924.47,197887469898962.06,4.458138049042624,2.409642156186562,1
